ItemType,Temperature_Celsius,ItemName,Quantity,Price,ExpirationDate
Fridge,3.15,Frozen Vegetables,46,1.76,1/11/2026
Freezer,-15.6,Yogurt,12,6.98,4/4/2025
Fridge,2.21,Ice Cream,4,9.58,12/13/2025
Fridge,2.59,Cheese,9,18.87,8/22/2025
Fridge,1.68,Ice Cream,10,15.2,3/20/2025
Freezer,-17.99,Frozen Vegetables,26,7.42,6/19/2025
Freezer,-15.61,Milk,27,15.03,5/23/2025
Fridge,2.36,Ice Cream,43,2.51,4/9/2025
Freezer,-16.65,Milk,20,18.83,8/24/2025
Fridge,1.51,Milk,36,2.16,3/29/2025
Fridge,1.71,Milk,28,15.95,3/14/2025
Fridge,1.61,Milk,34,9.87,9/25/2025
Fridge,1.13,Frozen Vegetables,28,8.53,5/20/2025
Fridge,3.89,Yogurt,24,10.22,11/1/2025
Fridge,1.92,Cheese,24,11.72,4/2/2025
Fridge,3.46,Yogurt,21,3.68,7/6/2025
Fridge,1.86,Ice Cream,23,16.65,7/14/2025
Freezer,-16.4,Frozen Vegetables,2,2.69,6/10/2025
Freezer,-15.44,Yogurt,23,17.28,8/13/2025
Fridge,1.27,Milk,35,7.35,10/28/2025
Fridge,3.67,Milk,26,17.03,11/24/2025
Freezer,-17.88,Ice Cream,4,3,9/6/2025
Freezer,-17.54,Frozen Vegetables,2,8.41,6/28/2025
Freezer,-16.05,Yogurt,44,2.4,2/24/2025
Fridge,2.49,Ice Cream,34,5.37,6/19/2025
Freezer,-15.14,Ice Cream,34,11.45,2/7/2025
Fridge,3.88,Frozen Vegetables,3,8.82,7/4/2025
Fridge,1.62,Yogurt,40,9.42,3/28/2025
Fridge,3.56,Ice Cream,23,10.85,8/6/2025
Fridge,3.86,Milk,25,5.14,4/26/2025
Freezer,-15.25,Frozen Vegetables,14,3.91,4/22/2025
Freezer,-15.97,Yogurt,21,2.26,2/24/2025
Fridge,3.19,Frozen Vegetables,11,1.75,5/20/2025
Freezer,-16.96,Milk,46,5.77,1/8/2026
Fridge,3.66,Frozen Vegetables,15,4.52,12/2/2025
Freezer,-17.06,Frozen Vegetables,22,8.36,9/23/2025
Fridge,3.25,Cheese,35,16.99,5/20/2025
Freezer,-16.1,Cheese,24,17.14,4/2/2025
Fridge,1.96,Milk,40,9.4,5/19/2025
Freezer,-17.61,Cheese,14,16.56,9/17/2025
Freezer,-17.88,Milk,38,19.72,11/29/2025
Fridge,1.66,Milk,37,15.78,4/18/2025
Freezer,-16.72,Ice Cream,39,5.02,7/6/2025
Fridge,3.64,Frozen Vegetables,18,18.29,8/7/2025
Freezer,-15.62,Cheese,3,15.09,4/27/2025
Freezer,-16.51,Ice Cream,31,9.57,5/26/2025
Freezer,-17.4,Cheese,3,13.11,5/29/2025
Fridge,1.58,Cheese,42,1.73,3/4/2025
Freezer,-15.6,Cheese,18,18.7,7/31/2025
Freezer,-15.1,Milk,39,16.04,4/22/2025
Freezer,-15.61,Yogurt,29,6.41,12/9/2025
Fridge,2.92,Cheese,22,16.76,12/4/2025
Fridge,1.3,Frozen Vegetables,39,16.61,6/28/2025
Freezer,-17.16,Milk,11,8.34,3/13/2025
Freezer,-15.31,Milk,49,4.02,10/3/2025
Fridge,2.78,Ice Cream,49,4.8,9/14/2025
Freezer,-17.01,Cheese,39,2.59,1/2/2026
Freezer,-16.01,Cheese,19,19.08,11/9/2025
Freezer,-15.64,Ice Cream,18,19.22,7/4/2025
Freezer,-16.05,Ice Cream,6,4.19,3/1/2025
Freezer,-17.59,Cheese,2,5.09,2/28/2025
Fridge,3.91,Frozen Vegetables,21,5.52,3/20/2025
Freezer,-15.13,Milk,23,12.7,4/28/2025
Freezer,-15.73,Yogurt,19,17.33,2/27/2025
Fridge,3,Cheese,34,9.13,2/26/2025
Fridge,1.43,Ice Cream,32,17.96,1/10/2026
Freezer,-17.9,Milk,6,6.45,8/11/2025
Freezer,-16.66,Cheese,22,4.23,2/11/2025
Freezer,-17.38,Ice Cream,18,6.78,11/20/2025
Freezer,-15.21,Frozen Vegetables,1,5.13,9/15/2025
Freezer,-15.64,Cheese,20,15.27,6/8/2025
Freezer,-16.09,Cheese,50,2.64,5/31/2025
Fridge,1.43,Cheese,12,19.01,9/15/2025
Freezer,-17.13,Yogurt,5,8.57,6/4/2025
Fridge,3.55,Frozen Vegetables,39,18.32,10/15/2025
Fridge,1.85,Frozen Vegetables,23,15.39,12/30/2025
Fridge,2.44,Yogurt,26,12.7,2/1/2025
Freezer,-15.22,Frozen Vegetables,5,8.13,9/6/2025
Freezer,-16.71,Ice Cream,48,19.23,4/30/2025
Fridge,3.92,Cheese,37,7.39,2/15/2025
Fridge,1.29,Milk,20,11.36,6/28/2025
Fridge,1.36,Frozen Vegetables,24,10.85,8/14/2025
Fridge,1.2,Milk,2,1.39,3/21/2025
Fridge,1.77,Yogurt,13,3.16,1/19/2026
Fridge,3.99,Milk,45,11.73,5/1/2025
Fridge,1.11,Cheese,5,10.48,1/13/2026
Fridge,1.63,Cheese,47,7.48,9/17/2025
Freezer,-16.44,Frozen Vegetables,36,12.32,5/28/2025
Fridge,3.98,Milk,37,2,8/27/2025
Fridge,2.42,Frozen Vegetables,6,19.45,5/26/2025
Freezer,-16,Frozen Vegetables,32,16.9,1/14/2026
Fridge,2.49,Frozen Vegetables,9,14.92,12/7/2025
Fridge,3.9,Milk,30,7.13,11/15/2025
Freezer,-16.09,Cheese,15,3.97,3/1/2025
Fridge,3.77,Milk,22,5.92,12/17/2025
Fridge,2.76,Ice Cream,19,9.2,8/14/2025
Fridge,1.78,Cheese,31,6.54,2/17/2025
Fridge,3.51,Cheese,20,3.3,6/28/2025
Freezer,-15.59,Frozen Vegetables,13,8.67,7/20/2025
Fridge,3.43,Yogurt,37,6.2,9/4/2025
Freezer,-16.56,Ice Cream,4,5.85,10/5/2025
Freezer,-17.04,Milk,24,4.07,9/23/2025
Freezer,-17.89,Frozen Vegetables,26,3.84,9/18/2025
Freezer,-15.36,Frozen Vegetables,33,10.71,8/25/2025
Fridge,2.22,Milk,16,14.46,7/14/2025
Fridge,1.24,Ice Cream,48,12.1,5/29/2025
Freezer,-15.48,Frozen Vegetables,36,9.92,8/21/2025
Fridge,3.33,Yogurt,34,4.66,5/7/2025
Freezer,-16.61,Ice Cream,7,3.59,10/2/2025
Freezer,-15.44,Yogurt,26,7.07,1/12/2026
Fridge,3.17,Ice Cream,16,13.59,11/15/2025
Fridge,1.5,Cheese,43,8.78,8/14/2025
Freezer,-15.66,Ice Cream,25,1.51,2/2/2025
Freezer,-17.66,Ice Cream,20,8.62,4/23/2025
Freezer,-15.64,Frozen Vegetables,37,5.54,3/16/2025
Fridge,1.21,Ice Cream,48,4.72,11/9/2025
Freezer,-16.55,Ice Cream,47,12.93,7/24/2025
Freezer,-15.1,Frozen Vegetables,30,15.16,12/23/2025
Fridge,3.24,Cheese,44,19.46,5/31/2025
Fridge,1.89,Frozen Vegetables,50,11.09,9/19/2025
Freezer,-15.89,Milk,4,1.03,3/15/2025
Freezer,-17.04,Ice Cream,24,14,3/22/2025
Freezer,-15.78,Frozen Vegetables,15,10.04,7/12/2025
Fridge,3.27,Ice Cream,36,5.99,12/8/2025
Fridge,2.95,Yogurt,2,1.5,1/15/2026
Freezer,-16.46,Milk,18,14.7,4/11/2025
Fridge,1.14,Milk,40,15.61,5/19/2025
Freezer,-17.37,Ice Cream,31,6.49,11/10/2025
Fridge,2.92,Yogurt,18,4.33,6/14/2025
Freezer,-15.65,Frozen Vegetables,50,1.15,8/9/2025
Fridge,1.82,Ice Cream,3,9.39,12/25/2025
Freezer,-15.72,Yogurt,23,14.54,4/29/2025
Fridge,3.02,Yogurt,44,11.2,3/27/2025
Freezer,-16.88,Ice Cream,6,9.9,11/20/2025
Freezer,-16.25,Cheese,14,17.31,9/17/2025
Freezer,-15.56,Cheese,12,5.58,2/23/2025
Freezer,-16.44,Yogurt,20,19.56,10/16/2025
Fridge,3.18,Milk,37,13.55,4/17/2025
Fridge,1.49,Cheese,43,3.4,11/27/2025
Freezer,-17.79,Frozen Vegetables,26,18.48,2/25/2025
Freezer,-17.74,Cheese,12,15.42,5/15/2025
Freezer,-16.63,Cheese,20,11.57,8/22/2025
Freezer,-17.91,Milk,34,8.25,3/9/2025
Freezer,-15.96,Frozen Vegetables,49,3.35,9/18/2025
Fridge,1.13,Frozen Vegetables,8,17.65,8/14/2025
Fridge,2.52,Frozen Vegetables,33,18.93,1/19/2026
Freezer,-17.39,Yogurt,37,12.69,1/21/2026
Freezer,-16.12,Frozen Vegetables,32,13.73,10/1/2025
Freezer,-16.03,Yogurt,42,4.74,10/12/2025
Fridge,1.89,Ice Cream,42,13.15,3/19/2025
Freezer,-17.79,Ice Cream,18,6.46,3/24/2025
Fridge,2.07,Frozen Vegetables,46,17.06,5/12/2025
Fridge,3.33,Ice Cream,45,8.58,4/15/2025
Freezer,-15.28,Milk,23,6.08,2/23/2025
Fridge,1.91,Ice Cream,50,13.51,11/13/2025
Freezer,-15.83,Yogurt,31,10.3,7/29/2025
Fridge,1.49,Milk,20,11.96,10/30/2025
Freezer,-17.43,Frozen Vegetables,16,4.08,7/20/2025
Freezer,-16.86,Cheese,21,3.4,7/22/2025
Fridge,2.99,Ice Cream,3,8.31,4/7/2025
Fridge,3.56,Milk,30,18.63,1/9/2026
Freezer,-16.27,Ice Cream,27,13.47,3/27/2025
Fridge,1.47,Ice Cream,41,9.69,12/9/2025
Freezer,-15.87,Cheese,18,13.95,9/6/2025
Fridge,1.74,Frozen Vegetables,26,16.42,1/9/2026
Fridge,1.14,Yogurt,31,12.05,6/12/2025
Freezer,-17.71,Cheese,11,12.42,4/23/2025
Freezer,-17.24,Frozen Vegetables,17,14.06,1/2/2026
Fridge,2.43,Cheese,27,10.3,3/18/2025
Freezer,-16.65,Frozen Vegetables,17,15.19,5/30/2025
Fridge,2.71,Yogurt,26,12.07,4/28/2025
Fridge,3.01,Milk,5,12.67,5/8/2025
Freezer,-17.55,Yogurt,5,11.41,4/3/2025
Fridge,2.35,Cheese,18,10.12,1/29/2025
Freezer,-16.04,Yogurt,5,1.48,7/13/2025
Freezer,-17.87,Milk,1,18.31,7/24/2025
Freezer,-17.73,Cheese,21,13.53,6/14/2025
Freezer,-16.54,Cheese,38,14.03,12/8/2025
Freezer,-16.34,Frozen Vegetables,15,2.05,4/26/2025
Fridge,3.59,Milk,44,14.76,11/28/2025
Fridge,2.37,Ice Cream,18,19.45,2/18/2025
Fridge,3.18,Frozen Vegetables,50,13.08,5/28/2025
Freezer,-17.7,Frozen Vegetables,28,18.76,10/10/2025
Freezer,-16.9,Yogurt,6,11.65,8/16/2025
Fridge,3.37,Yogurt,46,14.21,4/7/2025
Fridge,3.61,Cheese,1,20,2/28/2025
Freezer,-17.32,Milk,32,6.35,8/22/2025
Fridge,1.2,Frozen Vegetables,11,17.12,8/10/2025
Fridge,3.34,Frozen Vegetables,39,8.54,4/4/2025
Fridge,3.37,Cheese,37,4.79,12/1/2025
Fridge,3.85,Cheese,39,1.95,4/9/2025
Freezer,-16.74,Cheese,29,14.26,1/5/2026
Freezer,-16.58,Cheese,14,7.95,6/29/2025
Fridge,3.39,Frozen Vegetables,2,2.64,1/24/2026
Fridge,2.72,Milk,47,8.61,6/23/2025
Freezer,-16.19,Frozen Vegetables,22,9.61,1/23/2026
Fridge,1.57,Ice Cream,36,10.91,10/13/2025
Fridge,2.54,Cheese,13,11.32,8/1/2025
Freezer,-16.29,Milk,33,16.51,8/16/2025
Fridge,2.52,Ice Cream,17,7.08,9/25/2025
Fridge,2.04,Ice Cream,5,19.24,5/19/2025
Freezer,-16.44,Milk,23,11.88,4/19/2025
Fridge,2.33,Milk,36,3.76,2/28/2025
Freezer,-16.18,Ice Cream,41,6.49,12/9/2025
Freezer,-16.17,Yogurt,45,2.02,11/12/2025
Freezer,-16.01,Cheese,35,15.71,3/24/2025
Freezer,-17.56,Yogurt,2,12.76,7/30/2025
Freezer,-15.21,Milk,24,6.42,11/27/2025
Fridge,1.85,Frozen Vegetables,47,19.49,10/8/2025
Freezer,-15.55,Milk,39,4.01,12/2/2025
Fridge,3.16,Yogurt,21,2.79,1/28/2025
Fridge,2.92,Milk,21,18.68,5/29/2025
Fridge,2.31,Frozen Vegetables,33,15.11,1/3/2026
Freezer,-17.46,Yogurt,6,17.03,7/3/2025
Freezer,-17.79,Cheese,2,5.26,11/19/2025
Freezer,-16.49,Yogurt,40,2.62,9/1/2025
Fridge,3.39,Cheese,41,16.09,5/26/2025
Freezer,-17.02,Ice Cream,46,9.8,6/19/2025
Fridge,1.97,Yogurt,15,4.55,5/28/2025
Freezer,-15.91,Ice Cream,15,13.28,2/6/2025
Freezer,-17.52,Yogurt,29,17.5,9/24/2025
Fridge,3.98,Yogurt,10,10.29,6/27/2025
Fridge,3.99,Cheese,35,11.68,6/8/2025
Fridge,3.02,Cheese,31,8.28,9/3/2025
Fridge,1.63,Cheese,45,2.22,12/24/2025
Fridge,1.21,Cheese,22,13.41,10/22/2025
Freezer,-15.95,Cheese,21,9.33,9/15/2025
Fridge,3.8,Frozen Vegetables,39,9.9,8/21/2025
Freezer,-17.86,Ice Cream,13,4.14,7/18/2025
Freezer,-17.09,Milk,37,11.19,9/16/2025
Freezer,-17.88,Frozen Vegetables,15,13.56,4/13/2025
Fridge,3.43,Yogurt,20,18.15,6/2/2025
Freezer,-15.56,Ice Cream,37,13.1,3/21/2025
Freezer,-15.8,Frozen Vegetables,42,4.39,7/25/2025
Freezer,-17.44,Cheese,27,3.7,5/6/2025
Freezer,-15.03,Cheese,17,4.4,5/12/2025
Freezer,-17.5,Ice Cream,18,19.27,6/4/2025
Freezer,-17.91,Ice Cream,13,12.38,11/28/2025
Fridge,3.35,Milk,24,1.3,9/24/2025
Fridge,3.51,Cheese,24,8.32,11/22/2025
Fridge,2.4,Ice Cream,3,12.04,1/19/2026
Freezer,-17.14,Ice Cream,33,2.81,8/19/2025
Fridge,3.47,Ice Cream,27,15.73,4/6/2025
Fridge,3.08,Yogurt,46,8.85,2/8/2025
Freezer,-16.62,Frozen Vegetables,2,7.57,4/25/2025
Fridge,3.85,Ice Cream,13,8.52,1/29/2025
Fridge,2.78,Cheese,39,16.24,3/12/2025
Fridge,1.78,Yogurt,7,15.25,7/30/2025
Freezer,-17.29,Ice Cream,29,7.24,11/22/2025
Fridge,3.51,Frozen Vegetables,9,12.93,11/4/2025
Freezer,-16.04,Ice Cream,39,10.91,8/28/2025
Fridge,1.64,Frozen Vegetables,26,13.19,3/14/2025
Freezer,-16.95,Milk,8,12.1,4/8/2025
Fridge,1.97,Yogurt,31,2.21,2/14/2025
Fridge,3.4,Ice Cream,44,5.6,1/22/2026
Freezer,-16.58,Ice Cream,6,14.27,3/21/2025
Fridge,1.07,Yogurt,11,7.55,3/23/2025
Fridge,1.36,Milk,27,13.67,9/21/2025
Fridge,1.04,Yogurt,22,19.48,1/1/2026
Fridge,2.51,Milk,22,5.06,9/8/2025
Freezer,-17.99,Frozen Vegetables,29,9.01,7/9/2025
Freezer,-16.16,Cheese,14,16.08,8/28/2025
Fridge,2.97,Cheese,22,13.75,4/28/2025
Freezer,-15.2,Yogurt,29,7.51,2/17/2025
Freezer,-16.99,Cheese,36,16.85,2/6/2025
Fridge,2.09,Cheese,42,8.73,1/25/2026
Freezer,-15.12,Yogurt,18,13.27,3/17/2025
Freezer,-16.55,Cheese,6,12.8,7/11/2025
Freezer,-16.41,Milk,18,1.15,9/26/2025
Fridge,3.03,Milk,5,4.78,8/23/2025
Fridge,1.32,Yogurt,22,6.46,6/11/2025
Freezer,-16.97,Cheese,31,5.18,11/17/2025
Fridge,2.37,Yogurt,26,2.99,1/13/2026
Fridge,2.53,Milk,15,16.23,10/16/2025
Freezer,-16.18,Frozen Vegetables,12,18.47,6/30/2025
Fridge,1.18,Frozen Vegetables,45,8.19,12/29/2025
Freezer,-16.8,Ice Cream,9,17.88,11/2/2025
Freezer,-15.13,Frozen Vegetables,13,7.77,8/1/2025
Freezer,-17.12,Ice Cream,11,4.57,5/28/2025
Fridge,3.44,Ice Cream,19,11.77,10/16/2025
Freezer,-15.02,Cheese,6,3.1,7/7/2025
Fridge,2.06,Ice Cream,18,5.39,9/10/2025
Fridge,3.66,Yogurt,1,7.95,2/2/2025
Freezer,-15.29,Milk,50,12.09,5/18/2025
Fridge,1.9,Yogurt,16,4.9,4/27/2025
Fridge,2.33,Frozen Vegetables,13,6.85,4/10/2025
Freezer,-16.12,Frozen Vegetables,21,10.41,12/21/2025
Freezer,-15.76,Yogurt,48,8.12,3/31/2025
Freezer,-16.23,Frozen Vegetables,41,19.58,7/18/2025
Freezer,-16.18,Cheese,35,18.72,12/1/2025
Freezer,-16.85,Ice Cream,23,15.9,3/11/2025
Freezer,-16.86,Frozen Vegetables,41,6.66,9/22/2025
Freezer,-15.08,Milk,46,4.43,11/5/2025
Fridge,2.36,Frozen Vegetables,27,17.04,12/2/2025
Fridge,3.91,Frozen Vegetables,1,15.1,10/24/2025
Freezer,-17.17,Frozen Vegetables,34,19.09,1/5/2026
Fridge,1.54,Cheese,6,7.49,6/11/2025
Fridge,2.15,Ice Cream,42,4.19,7/1/2025
Fridge,3.13,Frozen Vegetables,46,13.18,4/6/2025
Freezer,-15.21,Ice Cream,26,14.74,8/9/2025
Freezer,-15.26,Cheese,34,13.32,12/12/2025
Freezer,-15.74,Milk,24,7.58,2/25/2025
Fridge,3.49,Cheese,24,11.04,8/28/2025
Freezer,-17.47,Frozen Vegetables,20,13.74,3/16/2025
Fridge,2.41,Ice Cream,42,2.19,4/29/2025
Fridge,1.17,Yogurt,38,19.27,2/13/2025
Freezer,-16.82,Ice Cream,47,3.77,2/19/2025
Freezer,-16.05,Milk,31,18.16,11/18/2025
Freezer,-15.36,Cheese,48,9.09,10/3/2025
Fridge,2.72,Ice Cream,4,16.85,8/14/2025
Fridge,2.74,Cheese,7,2.07,3/12/2025
Fridge,1.46,Milk,3,10.05,7/23/2025
Fridge,3.58,Ice Cream,16,15.72,11/13/2025
Freezer,-15.4,Yogurt,45,19.29,1/17/2026
Freezer,-17.78,Milk,12,16.23,5/31/2025
Fridge,2.31,Milk,10,10.46,8/22/2025
Freezer,-16.69,Ice Cream,10,13.74,10/17/2025
Fridge,2.17,Ice Cream,6,5.12,8/28/2025
Freezer,-15.01,Cheese,41,7.7,9/16/2025
Fridge,2.98,Frozen Vegetables,27,13.87,6/27/2025
Freezer,-17.91,Milk,12,2.18,10/31/2025
Freezer,-16.58,Yogurt,13,14.16,3/30/2025
Fridge,1.79,Milk,22,16.46,6/17/2025
Freezer,-17.29,Milk,13,16.87,9/6/2025
Freezer,-16.06,Yogurt,24,11.67,8/18/2025
Freezer,-17.19,Cheese,49,3.67,3/21/2025
Freezer,-16.91,Cheese,39,16.79,11/18/2025
Fridge,2.9,Milk,20,12.76,5/13/2025
Fridge,2.77,Yogurt,33,1.45,5/21/2025
Fridge,3.96,Milk,9,6.04,8/21/2025
Freezer,-16.18,Milk,34,7.76,9/2/2025
Freezer,-15.65,Frozen Vegetables,50,9.2,1/1/2026
Fridge,3,Yogurt,35,12.96,2/23/2025
Freezer,-15.08,Ice Cream,50,19.88,7/12/2025
Freezer,-15.53,Milk,32,6.69,10/12/2025
Fridge,1.84,Yogurt,47,12.56,3/8/2025
Fridge,3.77,Ice Cream,44,7.98,8/27/2025
Freezer,-16.65,Milk,4,13.59,9/19/2025
Fridge,3.18,Milk,8,15.06,6/21/2025
Fridge,1.11,Ice Cream,41,8.36,12/8/2025
Freezer,-16.98,Cheese,31,10.41,5/30/2025
Freezer,-17.83,Milk,39,10.73,12/8/2025
Fridge,3.94,Ice Cream,48,2.26,12/7/2025
Fridge,2.12,Ice Cream,16,16.57,3/9/2025
Fridge,2.12,Ice Cream,7,3.31,8/4/2025
Freezer,-17.88,Ice Cream,25,14.57,4/6/2025
Freezer,-15.22,Cheese,48,9.55,7/24/2025
Freezer,-16.64,Milk,18,9.54,8/16/2025
Fridge,3.58,Yogurt,39,17.93,5/6/2025
Freezer,-17.24,Ice Cream,32,5.91,4/29/2025
Freezer,-17.5,Frozen Vegetables,49,19.9,7/16/2025
Freezer,-15.2,Frozen Vegetables,6,5.88,4/27/2025
Fridge,1.47,Ice Cream,2,19.8,8/7/2025
Fridge,3.8,Yogurt,17,10.3,11/28/2025
Fridge,3.58,Ice Cream,38,19.41,4/17/2025
Fridge,3.67,Milk,7,11.84,7/15/2025
Freezer,-15.03,Ice Cream,30,3.64,1/7/2026
Fridge,3.84,Yogurt,12,2.9,1/8/2026
Freezer,-16.43,Frozen Vegetables,26,15.37,11/7/2025
Fridge,1.58,Milk,32,15.75,2/26/2025
Fridge,2.58,Milk,9,12.76,2/8/2025
Freezer,-16.55,Cheese,23,12.69,9/15/2025
Fridge,2.8,Yogurt,8,18.96,10/15/2025
Freezer,-15.48,Yogurt,25,18,2/6/2025
Freezer,-16.4,Cheese,36,2.32,4/15/2025
Fridge,2.68,Yogurt,44,8.53,9/17/2025
Fridge,1.22,Milk,32,2.19,4/5/2025
Freezer,-16.62,Cheese,49,13.02,5/2/2025
Freezer,-15.25,Cheese,5,5.95,1/8/2026
Fridge,1.26,Ice Cream,24,11.98,3/21/2025
Freezer,-16.04,Cheese,24,16.06,4/28/2025
Fridge,1.79,Frozen Vegetables,6,6.26,12/12/2025
Freezer,-17.34,Frozen Vegetables,18,7.14,9/12/2025
Fridge,2.36,Cheese,6,9.07,5/24/2025
Fridge,1.33,Milk,40,1.32,3/27/2025
Fridge,1.61,Yogurt,36,16.99,11/15/2025
Fridge,1.53,Yogurt,12,5.13,9/24/2025
Freezer,-15.1,Ice Cream,42,14.36,9/27/2025
Freezer,-16.75,Frozen Vegetables,29,3.36,12/19/2025
Fridge,2.64,Frozen Vegetables,23,12.46,6/24/2025
Fridge,1.16,Frozen Vegetables,13,5.73,4/5/2025
Fridge,2.71,Frozen Vegetables,28,3.2,2/2/2025
Fridge,3.11,Frozen Vegetables,28,8.98,11/24/2025
Freezer,-16.6,Milk,23,12.02,7/4/2025
Freezer,-15.62,Cheese,13,17.96,3/4/2025
Fridge,2.17,Ice Cream,31,13.77,11/6/2025
Fridge,1.65,Frozen Vegetables,41,2.46,11/12/2025
Fridge,1.8,Frozen Vegetables,26,10.86,3/19/2025
Fridge,3.5,Cheese,31,1.58,1/27/2026
Fridge,1.83,Ice Cream,20,16.77,8/17/2025
Freezer,-17.79,Frozen Vegetables,42,5.27,5/15/2025
Fridge,2.9,Milk,18,3.01,1/16/2026
Freezer,-17.62,Milk,46,16.54,9/4/2025
Freezer,-15.31,Frozen Vegetables,18,12.18,5/20/2025
Fridge,1.8,Milk,24,18.97,6/19/2025
Fridge,2.78,Frozen Vegetables,26,4.51,7/16/2025
Fridge,2.51,Milk,13,12.88,8/29/2025
Freezer,-17.96,Ice Cream,21,2.65,4/5/2025
Freezer,-16.79,Frozen Vegetables,20,9.39,10/20/2025
Freezer,-17.21,Cheese,8,1.51,6/18/2025
Freezer,-16.69,Yogurt,1,6.45,7/1/2025
Freezer,-16.01,Cheese,39,7.48,7/11/2025
Fridge,2.81,Yogurt,2,6.5,12/8/2025
Fridge,2.04,Yogurt,44,2.12,10/12/2025
Fridge,3.5,Yogurt,23,13.94,1/12/2026
Fridge,2.66,Cheese,31,10.27,1/23/2026
Fridge,1.71,Frozen Vegetables,18,11.45,6/16/2025
Freezer,-16.01,Yogurt,47,14.92,9/2/2025
Freezer,-17.62,Cheese,4,11.09,7/2/2025
Freezer,-15.88,Cheese,1,10.76,11/26/2025
Fridge,3.74,Yogurt,39,8.36,9/16/2025
Fridge,2.3,Yogurt,40,1.4,5/12/2025
Freezer,-16.08,Frozen Vegetables,42,3.64,5/16/2025
Freezer,-17.3,Cheese,14,13.84,7/21/2025
Fridge,1.25,Ice Cream,34,8.39,10/6/2025
Freezer,-17.42,Frozen Vegetables,4,16.28,9/16/2025
Freezer,-15.72,Cheese,10,16.38,2/12/2025
Fridge,1.84,Ice Cream,34,5.34,7/27/2025
Freezer,-16.67,Ice Cream,45,12.35,9/22/2025
Freezer,-17.06,Ice Cream,17,15.02,12/15/2025
Freezer,-16.1,Frozen Vegetables,12,5.28,10/21/2025
Fridge,1.13,Frozen Vegetables,50,4.26,12/6/2025
Fridge,1.14,Ice Cream,37,12.57,5/20/2025
Fridge,2.98,Frozen Vegetables,31,2.34,6/25/2025
Freezer,-17.56,Yogurt,14,19.89,7/23/2025
Freezer,-16.31,Frozen Vegetables,20,1.85,1/1/2026
